Company,WBA ID,Website,Corporate name,Headquarters,Region,Income group,Ownership,ISIN,Ticker,Stock market,Wiki Data ID,LEI,"""Home"" Transformation",Food & Agriculture,Decarbonisation and Energy,Nature,Digital,Financial,Urban,Social,WBA Industry,ISIC 4,ISIC Description,Revenue US$ m 2021,Revenue US$ m 2022,Revenue US$ m 2023,Employees 2021,Employees 2022,Employees 2023,Women employees (%) 2023,Women on the board (%) 2024,Water 2023 (ML),Waste 2023 (t),Scope 1+S2 LB million tCO2e 2021,Scope 1+2 LB milion tCO2e 2022,Scope 1+2 milion tCO2e LB 2023,Scope 3 million tCO2e 2021,Scope 3 All relevant categories 2021,Scope 3 million tCO2e 2022,Scope 3 All relevant categories 2022,Scope 3 million tCO2e 2023,Scope 3 All relevant categories 2023,SBTi 2023,SBTi 2024,Energy (MWh) 2021,Electricity (MWh) 2021,Renewable electricity (%) 2021,Energy (MWh) 2022,Electricity (MWh) 2022,Renewable electricity (%) 2022, Energy (MWh) 2023, Electricity (MWh) 2023,Renewable electricity (%) 2023,Fiscal year 2023 ending, Countries of operation reported by company, Calculated countries of operations, Significant countries of operation,Significance metric,Keystone Footprint metric,Latest value,Financial report 2023,ESG Report 2023,Financial link 2023,ESG link 2023
Acer,PT_00017,https://www.acer-group.com,Acer Incorporated,"Taiwan, China",East Asia & Pacific,High income,Public, TW0002353000,2353, TWSE, Q481778, 2549006Z3IVAZIQEUM25, DIB, , , , Yes, , , Yes, Electronics,2620, Manufacture of computers and peripheral equipment,"  11,384.92 ","  9,239.31 ","  7,744.16 ","  7,713.00 ","  7,725.00 ","  7,813.00 ",  38.1 ,  28.6 ,  141.80 ,"  1,883.60 ",  0.02 ,  0.02 ,  0.02 ,  2.10 , Yes,  6.69 , Yes,  5.79 , No, Committed, Targets Set,"  31,480.00 ","  31,480.28 ",  45.00 ,"  42,567.28 ","  30,644.47 ",  43.51 ,"  41,188.17 ","  30,592.09 ",  47.12 ,31-Dec-23,  38 , ,  -   ,  -   , , ,2023 Annual Report,2023 Sustainability Report,https://images.acer.com/is/content/acer/2023_Acer_Annual_Reportpdf,https://www.acer.com/sustainability/uploads/files/shares/sustainability-report/2023_Acer_Sustainability_Report.pdf
Freeport-McMoRan,PT_00717,https://www.fcx.com,Freeport-McMoRan,United States,North America,High income,Public, US35671D8570,,, Q1453620, 549300IRDTHJQ1PVET45, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  22,845.00 ","  22,780.00 ","  22,855.00 ","  24,700.00 ","  25,600.00 ","  27,162.00 ",  14.8 ,  41.7 ,"  314,715.00 ","  749,997,200.00 ",  7.45 ,  7.81 ,  7.97 ,  5.18 ,  -   ,  5.89 , Yes,  6.43 , Yes, Committed, Removed,"  25,336,686.94 ",  -   ,  -   ,"  26,964,634.00 ","  9,965,135.00 ",  38.81 ,"  28,143,633.63 ","  10,159,851.74 ",  -   ,31-Dec-23,  5 ,  4 ,  2 , Employees, Number of mines,  12 ,2023 ANNUAL REPORT,2023 ANNUAL REPORT ON SUSTAINABILITY,https://s22.q4cdn.com/529358580/files/doc_financials/annual/AR_2023.pdf,https://fcx.com/sites/fcx/files/documents/sustainability/2023-annual-report-on-sustainability.pdf
Cappa and D'Albero ,PT_02710,https://capdal.com,Cappa and D’Alberto Ltd,Nigeria,Sub-Saharan Africa,Lower middle income,Private,,,,,, Urban, , , , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings, ..., ..., ...,  -   ,  -   ,  , ...,  -   ,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Cemros,PT_00645,https://cemros.ru,Eurocement,Russian Federation,Europe & Central Asia,Upper middle income,Private,,,, Q4173352,, Climate, , Yes,  -   , , , , Yes, Conglomerates,6420, Activities of holding companies, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Chengdu Metro,PT_02280,http://www.chengdurail.com/,Chengdu Rail Transit Group,China,East Asia & Pacific,Upper middle income,Government,,,, Q1660063, 300300UHFBFR0SWV3L27, Urban, , , , , , Yes, Yes, Passenger Transport,4921, Urban and suburban passenger land transport, ..., ...,"  2,232.06 ",  -   ,  -   ,  , ..., Not found,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  1 , ,  -   ,  -   , Number of passengers per year,"  2,121,910,000 ",Annual Report 2023, ,https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=open&contentId=2862251&priority=0&ut=RjDma6mwU7YauUWKcYfYi4v3V6ceI/Pc6mVAMaLoyCcAA%2ByfsoYS3uaj7Gh9KhOS7nJv5YbMRl8F%0AvLyAjhFSiXTLAQSpb%2BKnO4AU1WrAyEfCtql5/fLlD0CInaAzDBZ2D946ularedlK2/n8JZUZpKpz%0ASMiiWcjuekveKH3HENw=%0A&sign=Q/d8solfMh3GOoMI5WmGUaZA1ukiCpO5sMwap9ByMZnt4tsJZeSkX6Wq1v3lRrKsnQLcWdAPun00%0ALsYa5AtcTZpCs2CvuKf8xTKL5JKkAphGIIEbpsADAhjeg2dCZIBVMUOFd2LaiLvRLJLML9AfJTc/%0AI44XV2MvFkyyEBuTLsA=%0A, 
China Huadian,PT_00371,http://eng.chd.com.cn,China Huadian Corporation,China,East Asia & Pacific,Upper middle income,Government, CNE000001LJ2,,, Q2580472, 300300ZOBEZHEZQTRS74, Climate, , Yes, , , , , Yes, Utilities,3510," Electric power generation, transmission and distribution","  6,644.19 ", ...,"  41,690.92 ", ..., ...,  , ...,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  6 , ,  -   ,  -   , , ,Annual Report 2023, ,https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=open&contentId=2870434&priority=0&ut=NRuMfgjXEV0oiqLs2MUiZWSHE8zwv99fH9Rodqs%2BpfBNRFGMK9Ps0A%2B3SjBlWml70pQzZJFedatf%0Ap/r7KI5sx3OpvImib2VURAnhH39Zxxrl7SFIdU5bXb5%2B98msUGlY0NiizQDiTySVpD5/nkn1RwaC%0AlKG5MP9/Ju081ZSsSR0=%0A&sign=Q/d8solfMh3GOoMI5WmGUaZA1ukiCpO5sMwap9ByMZnt4tsJZeSkX6Wq1v3lRrKsnQLcWdAPun00%0ALsYa5AtcTZpCs2CvuKf8xTKL5JKkAphGIIEbpsADAhjeg2dCZIBVMUOFd2LaiLvRLJLML9AfJTc/%0AI44XV2MvFkyyEBuTLsA=%0A, 
China Pacific Construction Group,PT_00387,http://www.cpcg.com.cn,China Pacific Construction Group,China,East Asia & Pacific,Upper middle income,Private,,,, Q63148388,, Urban, , ,  -   , , , Yes, Yes, Construction & Engineering,4390, Other specialized construction activities, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, , ,  -   , , ,, ,, 
China Post Group,PT_00391,http://english.chinapost.com.cn,China Post Group Corporation,China,East Asia & Pacific,Upper middle income,Government,,,, Q1066476, 30030032T1Z780FXRS16, Climate, , Yes, , , , , Yes, Postal and Courier Activities,5310, Postal activities, ..., ...,"  112,766.31 ","  935,200.00 ","  752,547.00 ",  -   , ...,  15.4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  1 , ,  -   ,  -   , Number of employees,"  752,547 ", Annual Report 2023, ,https://www.shclearing.com.cn/xxpl/cwbg/nb/202404/t20240430_1410753.html, 
China State Railway,PT_02268,http://www.china-railway.com.cn,"China State Railway Group Company, Ltd.",China,East Asia & Pacific,Upper middle income,Government,,,, Q1073489, 300300FQQ9DQSCWEC194, Climate, , Yes, , , , , Yes, Passenger Transport,4911," Passenger rail transport, interurban", ...,"  171,268.40 ","  175,903.05 ", ...,"  297,620.00 ",  -   , ...,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,"  39,245,150.00 ","  11,307,960.00 ",  -   ,  -   ,  -   ,  -   ,,  1 , ,  -   ,  -   , Passengers per year,"  1,895,300,000 ",Annual Report 2023, ,https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=open&contentId=2869678&priority=0&ut=ogdTafh8ugxqir%2B%2BNAgdP84Nk8aOPRohr4SgnMQ8YZyi4qIN3BO8p5cL7NUKqR405UFEeZf1rkh6%0A4ZVI7rJV1ZFo9gPBJEqsq4JiE5B25F2y0%2Bdp/EACKGjj/qBWUZCu1VATKUAOOCHZni1bZ/IdDHB9%0AsNRRbIpvtT9vyTjUO28=%0A&sign=Q/d8solfMh3GOoMI5WmGUaZA1ukiCpO5sMwap9ByMZnt4tsJZeSkX6Wq1v3lRrKsnQLcWdAPun00%0ALsYa5AtcTZpCs2CvuKf8xTKL5JKkAphGIIEbpsADAhjeg2dCZIBVMUOFd2LaiLvRLJLML9AfJTc/%0AI44XV2MvFkyyEBuTLsA=%0A, 
Clark Construction,PT_02711,https://www.clarkconstruction.com,"Clark Construction Group, LLC",United States,North America,High income,Private,,,, Q28131920, 54930090GR68FXTFYW08, Urban, , , , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings, ..., ..., ...,  -   ,  -   ,  , ...,  -   ,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Comac,PT_02725,http://english.comac.cc,"Commercial Aircraft Corporation of China, Ltd. ",China,East Asia & Pacific,Upper middle income,Government,,,, Q1115363, 3003001M6G0N2J5CN916, Climate, , Yes, , , , , Yes, Capital Goods,3030, Manufacture of air and spacecraft and related machinery, ..., ..., ...,  -   ,  -   ,  , ..., Not found,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  3 , ,  -   ,  -   , Number of employees, ,, ,, 
Grupo Mexico ,PT_00792,https://www.gmexico.com,Grupo Mexico SAB,Mexico,Latin America & Caribbean,Upper middle income,Public, MXP370841019,,, Q977145, 529900JWLZAYET2ZGW20, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  14,776.72 ","  13,870.31 ","  14,385.43 ","  28,308.00 ","  29,519.00 ","  31,193.00 ",  8.7 ,  7.7 ,"  116,644.00 ","  719,490,397.00 ",  5.76 ,  6.01 ,  6.95 ,  6.95 ,  -   ,  9.00 , No,  8.50 , Yes,  -   , …,"  26,214,833.20 ","  7,128,910.00 ",  22.60 ,"  26,329,711.90 ","  7,333,790.00 ",  19.87 ,"  26,311,179.10 ","  7,245,856.00 ",  32.63 ,31-Dec-23,  7 ,  7 ,  4 , Employees, Number of mines,  14 ,FINANCIAL REPORTS,SUSTAINABLE  DEVELOPMENT  REPORT 2023,https://www.gmexico.com/GMDocs/ReportesFinancieros/ING/2023/RF_EN_2023_4Q.pdf,https://www.gmexico.com/GMDocs/InformeSustentable/Folletos/ENG/SDR23_ENG.pdf
Antofagasta,PT_02239,https://www.antofagasta.co.uk,Antofagasta plc,United Kingdom,Europe & Central Asia,High income,Public, GB0000455849,,, Q585150, 213800MY6QVH4FVLD628, Nature, , , Yes, , , , Yes, Metals & Mining,710, Mining of iron ores,"  7,470.10 ","  5,862.00 ","  6,324.50 ","  25,118.00 ","  7,494.00 ","  8,084.00 ",  25.6 ,  45.5 ,"  98,235.00 ","  556,071,372.00 ",  2.39 ,  2.17 ,  2.07 ,  -   ,  -   ,  -   , No,  4.41 , Yes,  -   , …,"  7,571,602.00 ","  3,472,109.68 ",  -   ,"  7,972,248.60 ","  3,297,435.00 ",  -   ,"  7,470,963.00 ","  3,391,420.00 ",  100.00 ,31-Dec-23,  2 ,  2 ,  -   ,  -   , Number of mines,  4 ,Annual report,ESG DATA BOOK,https://www.antofagasta.co.uk/media/4665/antofagasta-annual-report-and-financial-statements-2023.pdf,https://www.antofagasta.co.uk/media/4715/antofagasta_plc_sustainability_databook_2023.xlsx
Vale,PT_01868,https://www.vale.com,Vale S.A.,Brazil,Latin America & Caribbean,Upper middle income,Public, BRVALEACNOR0,,, Q583268, 254900SMTWBX7RU2SR20, Nature, , , Yes, , , , Yes, Metals & Mining,710, Mining of iron ores,"  54,502 ","  43,840 ","  41,784 ","  72,300 ","  64,515 ","  66,807 ",  24.4 ,  16.7 ,"  496,700.00 ","  484,667,400.00 ",  10.20 ,  9.18 ,  10.00 ,  495.10 ,  -   ,  477.81 , Yes,  451.20 , No, Removed, Removed,"  40,611,111.11 ","  12,020,888.89 ",  89.00 ,"  37,251,732.01 ","  9,154,454.08 ",  83.46 ,"  40,833,366.00 ","  12,500,010.00 ",  100.00 ,31-Dec-23,  18 ,  18 ,  5 , Employees, Number of mines,  13 ,Financial Statements,Integrated Report 2023,https://api.mziq.com/mzfilemanager/v2/d/53207d1c-63b4-48f1-96b7-19869fae19fe/5dcb8eb2-3106-e1be-1cf0-9969a410c9b5?origin=1,https://api.mziq.com/mzfilemanager/v2/d/53207d1c-63b4-48f1-96b7-19869fae19fe/3f06b413-b8e6-ea9e-6a66-354411725997?origin=1
CVC Capital Partners,PT_00502,https://www.cvc.com,CVC Capital Partners,Luxembourg,Europe & Central Asia,High income,Private,,,, Q1024566, 213800E8UQS1KA32YD39, FSB, , , , , Yes, , Yes, Alternative Asset Managers,6499," Other financial service activities, except insurance and pension funding activities, n.e.c.", ..., ..., ...,  700.00 ,  800.00 ,"  1,154.00 ",  25.0 ,  42.9 ,  -   ,  -   ,  0.00 ,  -   ,  -   ,  0.00 ,  -   ,  0.01 , No,  0.02 , No,  -   , Targets Set,  -   ,  -   ,  -   ,  -   ,  1.78 ,  -   ,  -   ,"  2,253.00 ",  43.00 ,31-Dec-23,, ,  -   ,  -   , , ,, ,, 
Daiso,PT_02873,https://www.daiso-sangyo.co.jp/en/,"Daiso Industries Co., Ltd.",Japan,East Asia & Pacific,High income,Private,,,, Q866991,, Social,,,  -   ,,,, Yes, Retail,4773, Other retail sale of new goods in specialized stores, ..., ..., ..., ..., ...,  , ..., ...,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, , ,  -   , , ,, ,, 
